sensorId,assemblyEpochMillis,supervisorEpochMillis,influxEpochMillis
sensor-0,1700913036340,1700913036344,1700913036918
sensor-0,1700913037340,1700913037342,1700913037984
sensor-0,1700913038340,1700913038346,1700913039246
sensor-0,1700913039340,1700913039345,1700913039917
sensor-0,1700913040340,1700913040343,1700913040980
sensor-0,1700913041335,1700913041340,1700913042247
sensor-0,1700913042335,1700913042337,1700913042917
sensor-0,1700913043335,1700913043338,1700913043986
sensor-0,1700913044335,1700913044338,1700913045247
sensor-0,1700913045335,1700913045339,1700913045916
sensor-1,1700913036340,1700913036346,1700913036983
sensor-1,1700913037340,1700913037344,1700913038245
sensor-1,1700913038340,1700913038346,1700913038915
sensor-1,1700913039340,1700913039344,1700913039983
sensor-1,1700913040340,1700913040343,1700913041240
sensor-1,1700913041335,1700913041339,1700913041917
sensor-1,1700913042335,1700913042347,1700913042982
sensor-1,1700913043335,1700913043338,1700913044246
sensor-1,1700913044335,1700913044338,1700913044913
sensor-1,1700913045335,1700913045339,1700913045985
sensor-10,1700913036340,1700913036350,1700913036983
sensor-10,1700913037340,1700913037347,1700913038245
sensor-10,1700913038340,1700913038352,1700913038915
sensor-10,1700913039340,1700913039347,1700913039983
sensor-10,1700913040340,1700913040348,1700913041240
sensor-10,1700913041335,1700913041340,1700913041917
sensor-10,1700913042335,1700913042348,1700913042982
sensor-10,1700913043335,1700913043352,1700913044246
sensor-10,1700913044335,1700913044339,1700913044913
sensor-10,1700913045335,1700913045340,1700913045985
sensor-100,1700913036340,1700913036355,1700913036983
sensor-100,1700913037340,1700913037350,1700913038245
sensor-100,1700913038340,1700913038357,1700913038915
sensor-100,1700913039340,1700913039355,1700913039983
sensor-100,1700913040340,1700913040352,1700913041240
sensor-100,1700913041335,1700913041346,1700913041917
sensor-100,1700913042335,1700913042349,1700913042982
sensor-100,1700913043335,1700913043358,1700913044246
sensor-100,1700913044335,1700913044347,1700913044913
sensor-100,1700913045335,1700913045352,1700913045985
sensor-101,1700913036340,1700913036357,1700913037247
sensor-101,1700913037340,1700913037350,1700913037915
sensor-101,1700913038340,1700913038355,1700913038984
sensor-101,1700913039340,1700913039353,1700913040244
sensor-101,1700913040340,1700913040352,1700913040910
sensor-101,1700913041335,1700913041348,1700913041985
sensor-101,1700913042335,1700913042342,1700913043243
sensor-101,1700913043335,1700913043361,1700913043917
sensor-101,1700913044335,1700913044347,1700913044983
sensor-101,1700913045335,1700913045353,1700913046246
sensor-102,1700913036340,1700913036359,1700913036918
sensor-102,1700913037340,1700913037353,1700913037984
sensor-102,1700913038340,1700913038355,1700913039246
sensor-102,1700913039340,1700913039353,1700913039917
sensor-102,1700913040340,1700913040360,1700913040980
sensor-102,1700913041335,1700913041348,1700913042247
sensor-102,1700913042335,1700913042342,1700913042917
sensor-102,1700913043335,1700913043357,1700913043986
sensor-102,1700913044335,1700913044348,1700913045247
sensor-102,1700913045335,1700913045354,1700913045916
sensor-103,1700913036340,1700913036355,1700913036983
sensor-103,1700913037340,1700913037350,1700913038245
sensor-103,1700913038340,1700913038357,1700913038915
sensor-103,1700913039340,1700913039355,1700913039983
sensor-103,1700913040340,1700913040352,1700913041240
sensor-103,1700913041335,1700913041346,1700913041917
sensor-103,1700913042335,1700913042349,1700913042982
sensor-103,1700913043335,1700913043358,1700913044246
sensor-103,1700913044335,1700913044349,1700913044913
sensor-103,1700913045335,1700913045352,1700913045985
sensor-104,1700913036340,1700913036357,1700913037247
sensor-104,1700913037340,1700913037350,1700913037915
sensor-104,1700913038340,1700913038355,1700913038984
sensor-104,1700913039340,1700913039353,1700913040244
sensor-104,1700913040340,1700913040352,1700913040910
sensor-104,1700913041335,1700913041348,1700913041985
sensor-104,1700913042335,1700913042342,1700913043243
sensor-104,1700913043335,1700913043361,1700913043917
sensor-104,1700913044335,1700913044348,1700913044983
sensor-104,1700913045335,1700913045353,1700913046246
sensor-105,1700913036340,1700913036359,1700913036918
sensor-105,1700913037340,1700913037353,1700913037984
sensor-105,1700913038340,1700913038355,1700913039246
sensor-105,1700913039340,1700913039353,1700913039917
sensor-105,1700913040340,1700913040360,1700913040980
sensor-105,1700913041335,1700913041348,1700913042247
sensor-105,1700913042335,1700913042342,1700913042917
sensor-105,1700913043335,1700913043357,1700913043986
sensor-105,1700913044335,1700913044348,1700913045247
sensor-105,1700913045335,1700913045354,1700913045916
sensor-106,1700913036340,1700913036358,1700913036983
sensor-106,1700913037340,1700913037350,1700913038245
sensor-106,1700913038340,1700913038357,1700913038915
sensor-106,1700913039340,1700913039355,1700913039983
sensor-106,1700913040340,1700913040353,1700913041240
sensor-106,1700913041335,1700913041346,1700913041917
sensor-106,1700913042335,1700913042349,1700913042982
sensor-106,1700913043335,1700913043358,1700913044246
sensor-106,1700913044335,1700913044349,1700913044913
sensor-106,1700913045335,1700913045352,1700913045985
sensor-107,1700913036340,1700913036357,1700913037247
sensor-107,1700913037340,1700913037350,1700913037915
sensor-107,1700913038340,1700913038355,1700913038984
sensor-107,1700913039340,1700913039353,1700913040244
sensor-107,1700913040340,1700913040352,1700913040910
sensor-107,1700913041335,1700913041348,1700913041985
sensor-107,1700913042335,1700913042342,1700913043243
sensor-107,1700913043335,1700913043361,1700913043917
sensor-107,1700913044335,1700913044348,1700913044983
sensor-107,1700913045335,1700913045353,1700913046246
sensor-108,1700913036340,1700913036359,1700913036918
sensor-108,1700913037340,1700913037353,1700913037984
sensor-108,1700913038340,1700913038355,1700913039246
sensor-108,1700913039340,1700913039353,1700913039917
sensor-108,1700913040340,1700913040360,1700913040980
sensor-108,1700913041335,1700913041348,1700913042247
sensor-108,1700913042335,1700913042342,1700913042917
sensor-108,1700913043335,1700913043357,1700913043986
sensor-108,1700913044335,1700913044348,1700913045247
sensor-108,1700913045335,1700913045354,1700913045916
sensor-109,1700913036340,1700913036358,1700913036983
sensor-109,1700913037340,1700913037350,1700913038245
sensor-109,1700913038340,1700913038357,1700913038915
sensor-109,1700913039340,1700913039355,1700913039983
sensor-109,1700913040340,1700913040353,1700913041240
sensor-109,1700913041335,1700913041346,1700913041917
sensor-109,1700913042335,1700913042349,1700913042982
sensor-109,1700913043335,1700913043359,1700913044246
sensor-109,1700913044335,1700913044349,1700913044913
sensor-109,1700913045335,1700913045353,1700913045985
sensor-11,1700913036340,1700913036347,1700913037247
sensor-11,1700913037340,1700913037345,1700913037915
sensor-11,1700913038340,1700913038346,1700913038984
sensor-11,1700913039340,1700913039344,1700913040244
sensor-11,1700913040340,1700913040345,1700913040910
sensor-11,1700913041335,1700913041339,1700913041985
sensor-11,1700913042335,1700913042341,1700913043243
sensor-11,1700913043335,1700913043351,1700913043917
sensor-11,1700913044335,1700913044340,1700913044983
sensor-11,1700913045335,1700913045342,1700913046246
sensor-110,1700913036340,1700913036357,1700913037247
sensor-110,1700913037340,1700913037350,1700913037915
sensor-110,1700913038340,1700913038355,1700913038984
sensor-110,1700913039340,1700913039353,1700913040244
sensor-110,1700913040340,1700913040352,1700913040910
sensor-110,1700913041335,1700913041348,1700913041985
sensor-110,1700913042335,1700913042342,1700913043243
sensor-110,1700913043335,1700913043361,1700913043917
sensor-110,1700913044335,1700913044349,1700913044983
sensor-110,1700913045335,1700913045353,1700913046246
sensor-111,1700913036340,1700913036360,1700913036918
sensor-111,1700913037340,1700913037353,1700913037984
sensor-111,1700913038340,1700913038356,1700913039246
sensor-111,1700913039340,1700913039353,1700913039917
sensor-111,1700913040340,1700913040360,1700913040980
sensor-111,1700913041335,1700913041349,1700913042247
sensor-111,1700913042335,1700913042342,1700913042917
sensor-111,1700913043335,1700913043357,1700913043986
sensor-111,1700913044335,1700913044348,1700913045247
sensor-111,1700913045335,1700913045366,1700913045916
sensor-112,1700913036340,1700913036358,1700913036983
sensor-112,1700913037340,1700913037350,1700913038245
sensor-112,1700913038340,1700913038357,1700913038915
sensor-112,1700913039340,1700913039355,1700913039983
sensor-112,1700913040340,1700913040353,1700913041240
sensor-112,1700913041335,1700913041346,1700913041917
sensor-112,1700913042335,1700913042349,1700913042982
sensor-112,1700913043335,1700913043359,1700913044246
sensor-112,1700913044335,1700913044349,1700913044913
sensor-112,1700913045335,1700913045353,1700913045985
sensor-113,1700913036340,1700913036357,1700913037247
sensor-113,1700913037340,1700913037350,1700913037915
sensor-113,1700913038340,1700913038355,1700913038984
sensor-113,1700913039340,1700913039353,1700913040244
sensor-113,1700913040340,1700913040352,1700913040910
sensor-113,1700913041335,1700913041348,1700913041985
sensor-113,1700913042335,1700913042342,1700913043243
sensor-113,1700913043335,1700913043361,1700913043917
sensor-113,1700913044335,1700913044349,1700913044983
sensor-113,1700913045335,1700913045353,1700913046246
sensor-114,1700913036340,1700913036360,1700913036918
sensor-114,1700913037340,1700913037353,1700913037984
sensor-114,1700913038340,1700913038356,1700913039246
sensor-114,1700913039340,1700913039353,1700913039917
sensor-114,1700913040340,1700913040362,1700913040980
sensor-114,1700913041335,1700913041349,1700913042247
sensor-114,1700913042335,1700913042342,1700913042917
sensor-114,1700913043335,1700913043358,1700913043986
sensor-114,1700913044335,1700913044348,1700913045247
sensor-114,1700913045335,1700913045367,1700913045916
sensor-115,1700913036340,1700913036358,1700913036983
sensor-115,1700913037340,1700913037350,1700913038245
sensor-115,1700913038340,1700913038357,1700913038915
sensor-115,1700913039340,1700913039355,1700913039983
sensor-115,1700913040340,1700913040353,1700913041240
sensor-115,1700913041335,1700913041346,1700913041917
sensor-115,1700913042335,1700913042349,1700913042982
sensor-115,1700913043335,1700913043359,1700913044246
sensor-115,1700913044335,1700913044349,1700913044913
sensor-115,1700913045335,1700913045353,1700913045985
sensor-116,1700913036340,1700913036357,1700913037247
sensor-116,1700913037340,1700913037351,1700913037915
sensor-116,1700913038340,1700913038355,1700913038984
sensor-116,1700913039340,1700913039354,1700913040244
sensor-116,1700913040340,1700913040352,1700913040910
sensor-116,1700913041335,1700913041348,1700913041985
sensor-116,1700913042335,1700913042342,1700913043243
sensor-116,1700913043335,1700913043361,1700913043917
sensor-116,1700913044335,1700913044349,1700913044983
sensor-116,1700913045335,1700913045353,1700913046246
